Ordering,Effect,Ingredient
1,51,0
2,25,0
3,53,0
4,23,0
1,4,1
2,11,1
3,3,1
4,13,1
1,4,2
2,29,2
3,40,2
4,12,2
1,45,3
2,17,3
3,44,3
4,51,3
1,40,4
2,54,4
3,18,4
4,25,4
1,47,5
2,14,5
3,21,5
4,3,5
1,47,6
2,36,6
3,39,6
4,54,6
1,43,7
2,17,7
3,25,7
4,12,7
1,4,8
2,40,8
3,11,8
4,36,8
1,50,9
2,9,9
3,53,9
4,42,9
1,4,10
2,28,10
3,45,10
4,24,10
1,4,11
2,11,11
3,3,11
4,13,11
1,44,12
2,22,12
3,45,12
4,6,12
1,45,13
2,11,13
3,14,13
4,3,13
1,26,14
2,14,14
3,9,14
4,28,14
1,4,15
2,40,15
3,11,15
4,36,15
1,46,16
2,9,16
3,33,16
4,19,16
1,50,17
2,7,17
3,3,17
4,48,17
1,45,18
2,8,18
3,32,18
4,2,18
1,4,19
2,21,19
3,20,19
4,33,19
1,47,20
2,0,20
3,43,20
4,45,20
1,53,21
2,26,21
3,2,21
4,29,21
1,4,22
2,11,22
3,3,22
4,13,22
1,42,23
2,3,23
3,49,23
4,32,23
1,46,24
2,5,24
3,10,24
4,52,24
1,1,25
2,4,25
3,29,25
4,42,25
1,4,26
2,23,26
3,6,26
4,34,26
1,45,27
2,5,27
3,2,27
4,6,27
1,1,28
2,36,28
3,48,28
4,53,28
1,40,29
2,8,29
3,16,29
4,27,29
1,52,30
2,16,30
3,38,30
4,46,30
1,46,31
2,12,31
3,19,31
4,1,31
1,46,32
2,20,32
3,51,32
4,40,32
1,1,33
2,19,33
3,37,33
4,27,33
1,47,34
2,34,34
3,2,34
4,45,34
1,1,35
2,28,35
3,43,35
4,18,35
1,45,36
2,17,36
3,0,36
4,42,36
1,51,37
2,40,37
3,46,37
4,38,37
1,40,38
2,27,38
3,28,38
4,39,38
1,41,39
2,25,39
3,35,39
4,5,39
1,50,40
2,41,40
3,46,40
4,11,40
1,43,41
2,26,41
3,38,41
4,37,41
1,54,42
2,34,42
3,53,42
4,46,42
1,4,43
2,14,43
3,10,43
4,5,43
1,42,44
2,6,44
3,37,44
4,33,44
1,2,45
2,3,45
3,12,45
4,44,45
1,44,46
2,12,46
3,24,46
4,14,46
1,43,47
2,35,47
3,7,47
4,46,47
1,42,48
2,31,48
3,13,48
4,8,48
1,2,49
2,11,49
3,28,49
4,54,49
1,2,50
2,14,50
3,3,50
4,21,50
1,47,51
2,41,51
3,10,51
4,44,51
1,0,52
2,17,52
3,21,52
4,25,52
1,42,53
2,3,53
3,49,53
4,32,53
1,47,54
2,19,54
3,5,54
4,49,54
1,47,55
2,9,55
3,17,55
4,36,55
1,1,56
2,33,56
3,46,56
4,25,56
1,1,57
2,2,57
3,3,57
4,28,57
1,51,58
2,15,58
3,29,58
4,50,58
1,1,59
2,30,59
3,33,59
4,45,59
1,1,60
2,2,60
3,4,60
4,3,60
1,52,61
2,19,61
3,38,61
4,34,61
1,50,62
2,20,62
3,37,62
4,5,62
1,47,63
2,26,63
3,48,63
4,5,63
1,42,64
2,26,64
3,35,64
4,11,64
1,2,65
2,17,65
3,37,65
4,29,65
1,50,66
2,41,66
3,46,66
4,38,66
1,46,67
2,30,67
3,39,67
4,16,67
1,47,68
2,0,68
3,43,68
4,40,68
1,2,69
2,18,69
3,6,69
4,37,69
1,33,70
2,10,70
3,47,70
4,6,70
1,1,71
2,3,71
3,32,71
4,12,71
1,1,72
2,4,72
3,29,72
4,42,72
1,2,73
2,49,73
3,37,73
4,22,73
1,47,74
2,35,74
3,22,74
4,30,74
1,47,75
2,9,75
3,46,75
4,44,75
1,47,76
2,18,76
3,53,76
4,44,76
1,1,77
2,48,77
3,10,77
4,6,77
1,47,78
2,25,78
3,50,78
4,6,78
1,47,79
2,25,79
3,31,79
4,41,79
1,46,80
2,35,80
3,19,80
4,1,80
1,1,81
2,7,81
3,48,81
4,10,81
1,45,82
2,21,82
3,4,82
4,52,82
1,47,83
2,15,83
3,24,83
4,53,83
1,47,84
2,49,84
3,19,84
4,38,84
1,52,85
2,23,85
3,48,85
4,38,85
1,52,86
2,16,86
3,39,86
4,10,86
1,34,87
2,36,87
3,35,87
4,30,87
1,47,88
2,5,88
3,34,88
4,41,88
1,5,89
2,34,89
3,1,89
4,17,89
1,43,90
2,22,90
3,30,90
4,26,90
1,41,91
2,30,91
3,15,91
4,9,91
1,53,92
2,23,92
3,32,92
4,1,92
1,47,93
2,21,93
3,23,93
4,41,93
1,40,94
2,13,94
3,41,94
4,44,94
1,36,95
2,40,95
3,13,95
4,35,95
1,4,96
2,3,96
3,18,96
4,20,96
1,3,97
2,13,97
3,24,97
4,7,97
1,44,98
2,31,98
3,33,98
4,45,98
1,52,99
2,16,99
3,38,99
4,46,99
1,41,100
2,36,100
3,43,100
4,15,100
1,47,101
2,31,101
3,52,101
4,26,101
1,54,102
2,10,102
3,2,102
4,48,102
1,43,103
2,27,103
3,28,103
4,1,103
1,42,104
2,19,104
3,9,104
4,8,104
1,29,105
2,46,105
3,37,105
4,0,105
1,54,106
2,42,106
3,1,106
4,19,106
1,45,107
2,14,107
3,5,107
4,31,107
1,51,108
2,15,108
3,46,108
4,35,108
1,47,109
2,12,109
3,10,109
4,42,109
1,43,110
2,23,110
3,14,110
4,5,110
